id,ADM1_FR,ADM1_PCODE,ADM1_EN,ADM2_EN,ADM2_PCODE
1361,NORD-EST,HT04,North-East,OUANAMINTHE,HT0421
736,OUEST,HT01,West,POINTE A RAQUETTE,HT0152
1320,NORD-EST,HT04,North-East,MOMBIN CROCHU,HT0443
1327,OUEST,HT01,West,CORNILLON / GRAND BOIS,HT0134
361,GRANDE'ANSE,HT08,Grande'Anse,JEREMIE,HT0811
897,ARTIBONITE,HT05,Artibonite,TERRE NEUVE,HT0522
701,SUD,HT07,South,AQUIN,HT0731
867,OUEST,HT01,West,PETIT-GOAVE,HT0122
1150,NORD,HT03,North,DONDON,HT0342
1234,NORD-EST,HT04,North-East,SAINTE SUZANNE,HT0432
280,SUD,HT07,South,TIBURON,HT0753
1281,CENTRE,HT06,Centre,HINCHE,HT0611
742,SUD,HT07,South,AQUIN,HT0731
784,SUD,HT07,South,AQUIN,HT0731
1372,OUEST,HT01,West,FONDS-VERRETTES,HT0135
1116,OUEST,HT01,West,CABARET,HT0142
1024,ARTIBONITE,HT05,Artibonite,ENNERY,HT0512
864,OUEST,HT01,West,ANSE A GALETS,HT0151
320,GRANDE'ANSE,HT08,Grande'Anse,MORON,HT0814
657,NIPPES,HT10,Nippes,PETIT TROU DE NIPPES,HT1022
1114,ARTIBONITE,HT05,Artibonite,LA CHAPELLE,HT0533
449,SUD,HT07,South,CHANTAL,HT0713
1023,NORD,HT03,North,PILATE,HT0372
727,NORD-OUEST,HT09,North-West,JEAN RABEL,HT0934
1074,OUEST,HT01,West,CABARET,HT0142
1239,CENTRE,HT06,Centre,THOMONDE,HT0613
1108,ARTIBONITE,HT05,Artibonite,MARMELADE,HT0552
1331,SUD-EST,HT02,South-East,THIOTTE,HT0233
1021,NORD,HT03,North,BORGNE,HT0351
1204,OUEST,HT01,West,CROIX-DES-BOUQUETS,HT0131
1285,OUEST,HT01,West,CORNILLON / GRAND BOIS,HT0134
1153,ARTIBONITE,HT05,Artibonite,SAINT-MICHEL DE L'ATTALAYE,HT0551
898,ARTIBONITE,HT05,Artibonite,ANSE ROUGE,HT0523
